"Órgão UGE Código,""Órgão UGE Nome"",""Órgão UGE CNPJ"",""Órgão UGE - Poder Código"",""Órgão UGE - Poder Nome"",""Órgão UGE - Tipo Administração Código"",""Órgão UGE - Tipo Administração Nome"""
"01000,""CAMARA DOS DEPUTADOS"",""530352000159"",""1"",""PODER LEGISLATIVO"",""1"",""ADMINISTRACAO DIRETA"""
"01901,""FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS"",""26994574000116"",""1"",""PODER LEGISLATIVO"",""7"",""FUNDOS"""
"02000,""SENADO FEDERAL"",""530279000115"",""1"",""PODER LEGISLATIVO"",""1"",""ADMINISTRACAO DIRETA"""
"02001,""FUNDO ESPECIAL DO SENADO FEDERAL"",""530279000115"",""1"",""PODER LEGISLATIVO"",""7"",""FUNDOS"""
"02002,""SENADO FEDERAL/FUNSEEP"",""530279000115"",""1"",""PODER LEGISLATIVO"",""7"",""FUNDOS"""
"02003,""FUNDO DA SECRETARIA ESPECIAL DE INFORMATICA"",""530279000115"",""1"",""PODER LEGISLATIVO"",""7"",""FUNDOS"""
"03000,""TRIBUNAL DE CONTAS DA UNIAO"",""414607000118"",""1"",""PODER LEGISLATIVO"",""1"",""ADMINISTRACAO DIRETA"""
"10000,""SUPREMO TRIBUNAL FEDERAL"",""531640000128"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"11000,""SUPERIOR TRIBUNAL DE JUSTICA"",""488478000102"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12000,""JUSTICA FEDERAL"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12800,""JUSTICA FEDERAL"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12801,""TRIBUNAL REGIONAL FEDERAL - 1A REGIAO"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12802,""TRIBUNAL REGIONAL FEDERAL - 2A REGIAO"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12803,""TRIBUNAL REGIONAL FEDERAL - 3A REGIAO"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12804,""TRIBUNAL REGIONAL FEDERAL - 4A REGIAO"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"12805,""TRIBUNAL REGIONAL FEDERAL - 5A REGIAO"",""508903000188"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"13000,""JUSTICA MILITAR"",""497560000101"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"14000,""JUSTICA ELEITORAL"",""509018000113"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"14001,""FUNDO ESPECIAL DE ASSIST.FINANC.PART.POLITICO"",""509018000113"",""2"",""PODER JUDICIARIO"",""7"",""FUNDOS"""
"15000,""JUSTICA DO TRABALHO"",""17270702000198"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"16000,""JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS"",""531954000120"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"17000,""CONSELHO NACIONAL DE JUSTICA"",""7421906000129"",""2"",""PODER JUDICIARIO"",""1"",""ADMINISTRACAO DIRETA"""
"20000,""PRESIDENCIA DA REPUBLICA"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20101,""PRESIDENCIA DA REPUBLICA"",""394411000109"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20102,""GABINETE DA VICE-PRESIDENCIA DA REPUBLICA"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20103,""MINISTERIO ADM.FED.REFORMA ESTADO-EM EXTINCAO"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20104,""SECRETARIA DE ASSUNTOS ESTRATEGICOS"",""394411003710"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20105,""MINISTERIO DA DEFESA"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20113,""MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO"",""489828000155"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20114,""ADVOCACIA-GERAL DA UNIAO"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20115,""FUNDO NACIONAL PARA A CRIANCA E O ADOLESCENTE"",""394411000109"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"20116,""FUNDO DE IMPRENSA NACIONAL"",""394411000109"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"20117,""FUNDO NACIONAL ANTIDROGAS"",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"20122,""SECRETARIA NACIONAL DE POLITICAS P/MULHERES"",""5510958000146"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20124,""SECRETARIA ESPECIAL DE AQUICULTURA E PESCA/PR"",""29587146000167"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20125,""CONTROLADORIA-GERAL DA UNIAO"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20129,""SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO"",""26688865000186"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20202,""FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA"",""627612000109"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20203,""AGENCIA NACIONAL DO CINEMA"",""4884574000120"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20213,""EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUARIA"",""0"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"20214,""AGENCIA NACIONAL DE AVIACAO CIVIL"",""0"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20301,""COMISSAO NACIONAL DE ENERGIA NUCLEAR"",""402552000126"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20302,""NUCLEBRAS EQUIPAMENTOS PESADOS S/A"",""42515882000178"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"20303,""INDUSTRIAS NUCLEARES DO BRASIL S/A"",""322818000120"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"20402,""AGENCIA ESPACIAL BRASILEIRA - AEB"",""86900545000170"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20403,""FUNDACAO CASA DE RUI BARBOSA"",""42519488000108"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20404,""FUNDACAO BIBLIOTECA NACIONAL"",""40176679000199"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20407,""FUNDACAO DO CINEMA BRASILEIRO"",""31940968000121"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20408,""FUNDACAO CULTURAL PALMARES"",""32901688000177"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20411,""INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL"",""26474056000171"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20412,""FUNDACAO NACIONAL DE ARTES"",""26963660000161"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20415,""EMPRESA BRASIL DE COMUNICACAO S.A.-EBC"",""9168704000142"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"20501,""CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO"",""33654831000136"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20502,""FINANCIADORA DE ESTUDOS E PROJETOS"",""33749086000613"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"20503,""FUNDACAO CENTRO TECNOLOGICO PARA INFORMATICA"",""67154716000114"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"20601,""SUPERINTENDENCIA DO DESENVOLV. DO NORDESTE"",""10890804000167"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20602,""SUPERINTENDENCIA DO DESENVOLV. DA AMAZONIA"",""4931713000120"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20603,""SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS"",""4407029000143"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20604,""INSTITUTO BRASILEIRO DE TURISMO"",""33741794000101"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20605,""COMPANHIA DE DESENVOLVIMENTO DE BARCARENA"",""4319877000109"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"20701,""INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV."",""3659166000102"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"20801,""SECRETARIA DE PATRIMONIO DA UNIAO/MP"",""489828000155"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20802,""SUBSECRETARIA DE PLANEJ.,ORCAMENTO E ADM./MP"",""489828000155"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20803,""SECRETARIA DE ADMINISTRACAO/CC/PR"",""394411000109"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"20924,""FUNDO NACIONAL DE DESENVOLVIMENTO"",""2704906000112"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"20929,""FUNDO NACIONAL DO IDOSO"",""394411000109"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"22000,""MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22201,""INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA"",""3204421000122"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"22202,""EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA"",""348003000110"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22203,""CIA.DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA"",""399857000126"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22204,""DEPARTAMENTO NAC.DE OBRAS CONTRA AS SECAS"",""43711000143"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"22207,""COMPANHIA DE COLONIZACAO DO NORDESTE"",""6045942000172"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"22211,""COMPANHIA NACIONAL DE ABASTECIMENTO"",""26461699000180"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22500,""CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO"",""62463005000108"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22801,""COMIS.EXEC.DO PLANO DA LAVOURA CACAUEIRA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22802,""INSTITUTO NACIONAL DE METEOROLOGIA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22803,""SECRETARIA NAC. DE DEFESA AGROPECUARIA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22804,""SUBSECRETARIA DE PLANEJ.,ORCAM.E ADM./MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
