index,codigo,descricao
0,01000,Câmara dos Deputados - Unidades com vínculo direto
1,01901,Fundo Rotativo da Câmara dos Deputados 
2,02000,Senado Federal - Unidades com vínculo direto
3,02001,Fundo Especial do Senado Federal
4,02002,Senado Federal/ FUNSEEP
5,02003,Fundo da Secretaria Especial de Informática
6,03000,Tribunal de Contas da União - Unidades com vínculo direto
7,10000,Supremo Tribunal Federal - Unidades com vínculo direto
8,11000,Superior Tribunal de Justiça - Unidades com vínculo direto
9,12000,Justiça Federal - Unidades com vínculo direto
10,12800,Justiça Federal
11,12801,Tribunal Regional Federal - 1ª Região
12,12802,Tribunal Regional Federal - 2ª Região
13,12803,Tribunal Regional Federal - 3ª Região
14,12804,Tribunal Regional Federal - 4ª Região
0,12805,Tribunal Regional Federal - 5ª Região
1,13000,Justiça Militar - Unidades com vínculo direto
2,14000,Justiça Eleitoral - Unidades com vínculo direto
3,14001,Fundo Especial de Assistência Financeira aos Partidos Políticos
4,15000,Justiça do Trabalho - Unidades com vínculo direto
5,16000,Justiça do Distrito Federal e Territórios  - Unidades com vínculo direto
6,17000,Conselho Nacional de Justiça - Unidades com vínculo direto
7,20000,Presidência da República - Unidades com vínculo direto
8,20101,Presidência da República
9,20102,Gabinete da Vice-Presidência da República
10,20103,Ministério da Administração Federal e Reforma do Estado - em extinção - Unidades com vínculo direto
11,20104,Secretaria de Assuntos Estratégicos
12,20105,Ministério da Defesa - Unidades com vínculo direto
13,20113,"Ministério do Planejamento, Desenvolvimento e Gestão - Unidades com vínculo direto"
14,20114,Advocacia-Geral da União - Unidades com vínculo direto
0,20115,Fundo Nacional para a Criança e o Adolescente
1,20116,Fundo de Imprensa Nacional
2,20117,Fundo Nacional Antidrogas
3,20122,Secretaria Nacional de Políticas para Mulheres 
4,20124,Secretaria Especial de Aqüicultura e Pesca 
5,20125,Controladoria-Geral da União
6,20129,Secretaria Especial de Agricultura Familiar e do Desenvolvimento Agrário 
7,20202,Fundação Escola Nacional de Administração Pública
8,20203,Agência Nacional do Cinema
9,20213,Empresa Brasileira de Infraestrutura Aeroportuária 
10,20214,Agência Nacional de Aviação Civil
11,20301,Comissão Nacional de Energia Nuclear
12,20302,Nuclebrás Equipamentos Pesados S.A.
13,20303,Indústrias Nucleares do Brasil
14,20402,Agência Espacial Brasileira
0,20403,Fundação Casa de Rui Barbosa
1,20404,Fundação Biblioteca Nacional
2,20407,Fundação do Cinema Brasileiro
3,20408,Fundação Cultural Palmares
4,20410,Fundação Nacional Pró-Leitura 
5,20411,Instituto do Patrimônio Histórico e Artístico Nacional
6,20412,Fundação Nacional de Artes
7,20415,Empresa Brasil de Comunicação
8,20501,Conselho Nacional de Desenvolvimento Científico e Tecnológico
9,20502,Financiadora de Estudos e Projetos
10,20503,Fundação Centro Tecnológico para Informática
11,20601,Superintendência do Desenvolvimento do Nordeste
12,20602,Superintendência do Desenvolvimento da Amazônia
13,20603,Superintendência da Zona Franca de Manaus
14,20604,Instituto Brasileiro de Turismo
0,20605,Companhia de Desenvolvimento de Barcarena
1,20701,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
2,20801,Secretaria de Patrimônio da União
